id,code,name,parent_id:id,note,reconcile,type,user_type:id,currency_id:id
ECD0,0,Plano de contas ECD Serviços,,Plano de contas ECD Serviços,FALSE,view,account.data_account_type_view,base.BRL
ECD1,1,ATIVO,ECD0,ATIVO,FALSE,view,account.data_account_type_view,base.BRL
ECD101,1.01,CIRCULANTE,ECD1,CIRCULANTE,FALSE,view,account.data_account_type_view,base.BRL
ECD10101,1.01.01,DISPONIBILIDADES,ECD101,DISPONIBILIDADES,FALSE,view,account.data_account_type_view,base.BRL
ECD101010100,1.01.01.01.00,Caixa,ECD10101,Caixa,FALSE,view,account.data_account_type_view,base.BRL
ECD101010101,1.01.01.01.01,Caixa - Central/Matriz,ECD101010100,Caixa - Central/Matriz,FALSE,liquidity,account.data_account_type_cash,base.BRL
ECD101010102,1.01.01.01.02,Caixa - Filial A,ECD101010100,Caixa - Filial A,FALSE,liquidity,account.data_account_type_cash,base.BRL
ECD101010103,1.01.01.01.03,Caixa - Filial B,ECD101010100,Caixa - Filial B,FALSE,liquidity,account.data_account_type_cash,base.BRL
ECD101010200,1.01.01.02.00,Bancos,ECD10101,Bancos,FALSE,view,account.data_account_type_view,base.BRL
ECD101010201,1.01.01.02.01,Banco c/c 111111-0,ECD101010200,Banco c/c 111111-0,FALSE,liquidity,account.data_account_type_bank,base.BRL
ECD101010202,1.01.01.02.02,Banco Bradesco c/c 111111-0,ECD101010200,Banco Bradesco c/c 111111-0,FALSE,liquidity,account.data_account_type_bank,base.BRL
ECD101010300,1.01.01.03.00,Recursos no Exterior Decorrentes de Exportação,ECD10101,Recursos no Exterior Decorrentes de Exportação,FALSE,liquidity,account.data_account_type_asset,base.BRL
ECD101010400,1.01.01.04.00,Contas Bancárias - Subvenções,ECD10101,Contas Bancárias - Subvenções,FALSE,liquidity,account.data_account_type_asset,base.BRL
ECD101010500,1.01.01.05.00,Contas Bancárias - Doações,ECD10101,Contas Bancárias - Doações,FALSE,liquidity,account.data_account_type_asset,base.BRL
ECD101010600,1.01.01.06.00,Contas Bancárias - Outros Recursos Sujeitos a Restrições,ECD10101,Contas Bancárias - Outros Recursos Sujeitos a Restrições,FALSE,liquidity,account.data_account_type_asset,base.BRL
ECD101010700,1.01.01.07.00,Valores Mobiliários,ECD10101,Valores Mobiliários,FALSE,liquidity,account.data_account_type_asset,base.BRL
ECD101010701,1.01.01.07.01,Valores Mobiliários - Mercado de Capitais Interno,ECD10101,Valores Mobiliários - Mercado de Capitais Interno,FALSE,liquidity,account.data_account_type_asset,base.BRL
ECD101010702,1.01.01.07.02,Valores Mobiliários - Mercado de Capitais Externo,ECD10101,Valores Mobiliários - Mercado de Capitais Externo,FALSE,liquidity,account.data_account_type_asset,base.BRL
ECD101010800,1.01.01.08.00,Valores Mobiliários - Aplicações de Subvenções,ECD10101,Valores Mobiliários - Aplicações de Subvenções,FALSE,liquidity,account.data_account_type_asset,base.BRL
ECD101010900,1.01.01.09.00,Valores Mobiliários - Aplicações de Doações,ECD10101,Valores Mobiliários - Aplicações de Doações,FALSE,liquidity,account.data_account_type_asset,base.BRL
ECD101011000,1.01.01.10.00,Valores Mobiliários - Aplicações de Outros Recursos Sujeitos a Restrições,ECD10101,Valores Mobiliários - Aplicações de Outros Recursos Sujeitos a Restrições,FALSE,liquidity,account.data_account_type_asset,base.BRL
ECD101011100,1.01.01.11.00,Outras Contas do Disponivel,ECD10101,Outras Contas do Disponivel,FALSE,liquidity,account.data_account_type_asset,base.BRL
ECD10103,1.01.03,ESTOQUES,ECD101,ESTOQUES,FALSE,view,account.data_account_type_view,base.BRL
ECD101030101,1.01.03.01.01,Mercadorias para Revenda,ECD10103,Mercadorias para Revenda,FALSE,other,account.data_account_type_asset,base.BRL
ECD101030102,1.01.03.01.02,Insumos (materiais diretos),ECD10103,Insumos (materiais diretos),FALSE,other,account.data_account_type_asset,base.BRL
ECD101030103,1.01.03.01.03,Produtos em Elaboração,ECD10103,Produtos em Elaboração,FALSE,other,account.data_account_type_asset,base.BRL
ECD101030104,1.01.03.01.04,Produtos Acabados,ECD10103,Produtos Acabados,FALSE,other,account.data_account_type_asset,base.BRL
ECD101030105,1.01.03.01.05,Serviços em andamento,ECD10103,Serviços em andamento,FALSE,other,account.data_account_type_asset,base.BRL
ECD101030106,1.01.03.01.06,Insumos Agropecuários,ECD10103,Insumos Agropecuários,FALSE,other,account.data_account_type_asset,base.BRL
ECD101030107,1.01.03.01.07,Produtos Agropecuários em Formação,ECD10103,Produtos Agropecuários em Formação,FALSE,other,account.data_account_type_asset,base.BRL
ECD101030108,1.01.03.01.08,Produtos Agropecuários Acabados,ECD10103,Produtos Agropecuários Acabados,FALSE,other,account.data_account_type_asset,base.BRL
ECD101030200,1.01.03.02.00,Imóveis Destinados à Venda,ECD10103,Imóveis Destinados à Venda,FALSE,other,account.data_account_type_asset,base.BRL
ECD101030201,1.01.03.02.01,Construções em Andamento de Imóveis Destinados à Venda,ECD10103,Construções em Andamento de Imóveis Destinados à Venda,FALSE,other,account.data_account_type_asset,base.BRL
ECD101030300,1.01.03.03.00,Estoques Destinados à Doação,ECD10103,Estoques Destinados à Doação,FALSE,other,account.data_account_type_asset,base.BRL
ECD101030400,1.01.03.04.00,Outras Contas de Estoques,ECD10103,Outras Contas de Estoques,FALSE,other,account.data_account_type_asset,base.BRL
ECD10105,1.01.05,CRÉDITOS,ECD101,CRÉDITOS,FALSE,view,account.data_account_type_view,base.BRL
ECD101050100,1.01.05.01.00,Adiantamentos a Fornecedores,ECD10105,Adiantamentos a Fornecedores,TRUE,payable,account.data_account_type_payable,base.BRL
ECD101050200,1.01.05.02.00,Clientes Circulante,ECD10105,Clientes Circulante,TRUE,receivable,account.data_account_type_receivable,base.BRL
ECD101050300,1.01.05.03.00,Créditos Fiscais CSLL - Diferenças Temporárias e Base de Cálculo Negativa,ECD10105,Créditos Fiscais CSLL - Diferenças Temporárias e Base de Cálculo Negativa,FALSE,other,account.data_account_type_asset,base.BRL
ECD101050400,1.01.05.04.00,Créditos Fiscais IRPJ - Diferenças Temporárias e Prejuízos Fiscais,ECD10105,Créditos Fiscais IRPJ - Diferenças Temporárias e Prejuízos Fiscais,FALSE,other,account.data_account_type_asset,base.BRL
ECD101050501,1.01.05.05.01,Imposto de Renda a Recuperar,ECD10105,Imposto de Renda a Recuperar,FALSE,other,account.data_account_type_asset,base.BRL
ECD101050502,1.01.05.05.02,IPI a Recuperar,ECD10105,IPI a Recuperar,FALSE,other,account.data_account_type_asset,base.BRL
ECD101050503,1.01.05.05.03,PIS e COFINS a Recuperar,ECD10105,PIS e COFINS a Recuperar,FALSE,other,account.data_account_type_asset,base.BRL
ECD101050504,1.01.05.05.04,CSLL a Recuperar,ECD10105,CSLL a Recuperar,FALSE,other,account.data_account_type_asset,base.BRL
ECD101050505,1.01.05.05.05,ICMS e Contribuições a Recuperar,ECD10105,ICMS e Contribuições a Recuperar,FALSE,other,account.data_account_type_asset,base.BRL
ECD101050506,1.01.05.05.06,Tributos Municipais a Recuperar,ECD10105,Tributos Municipais a Recuperar,FALSE,other,account.data_account_type_asset,base.BRL
ECD101050590,1.01.05.05.90,Outros Impostos e Contribuições a Recuperar,ECD10105,Outros Impostos e Contribuições a Recuperar,FALSE,other,account.data_account_type_asset,base.BRL
ECD101050600,1.01.05.06.00,Créditos por Contribuições e Doações,ECD10105,Créditos por Contribuições e Doações,FALSE,other,account.data_account_type_asset,base.BRL
ECD101050700,1.01.05.07.00,Outras Contas de Créditos,ECD10105,Outras Contas de Créditos,FALSE,other,account.data_account_type_asset,base.BRL
ECD10107,1.01.07,DESPESAS DO EXERCÍCIO SEGUINTE,ECD101,DESPESAS DO EXERCÍCIO SEGUINTE,FALSE,view,account.data_account_type_view,base.BRL
ECD101070100,1.01.07.01.00,Despesas do Exercício Seguinte,ECD10107,Despesas do Exercício Seguinte,FALSE,other,account.data_account_type_asset,base.BRL
ECD101070200,1.01.07.02.00,Outras Contas de Despesas do Exercício Seguinte,ECD10107,Outras Contas de Despesas do Exercício Seguinte,FALSE,other,account.data_account_type_asset,base.BRL
ECD10109,1.01.09,CONTAS RETIFICADORAS,ECD101,CONTAS RETIFICADORAS,FALSE,view,account.data_account_type_view,base.BRL
ECD101090101,1.01.09.01.01,(-) Duplicatas Descontadas,ECD10109,(-) Duplicatas Descontadas,FALSE,other,account.data_account_type_asset,base.BRL
ECD101090103,1.01.09.01.03,(-) Provisões para Créditos de Liquidação Duvidosa,ECD10109,(-) Provisões para Créditos de Liquidação Duvidosa,FALSE,other,account.data_account_type_asset,base.BRL
ECD101090105,1.01.09.01.05,(-) Provisão para Ajuste do Estoque ao Valor de Mercado,ECD10109,(-) Provisão para Ajuste do Estoque ao Valor de Mercado,FALSE,other,account.data_account_type_asset,base.BRL
ECD101090107,1.01.09.01.07,(-) Provisões para Ajuste ao Valor Provável de Realização,ECD10109,(-) Provisões para Ajuste ao Valor Provável de Realização,FALSE,other,account.data_account_type_asset,base.BRL
ECD101090190,1.01.09.01.90,(-) Outras Contas Retificadoras,ECD10109,(-) Outras Contas Retificadoras,FALSE,other,account.data_account_type_asset,base.BRL
ECD107,1.07,NÃO CIRCULANTE,ECD1,NÃO CIRCULANTE,FALSE,view,account.data_account_type_view,base.BRL
ECD10700,1.07.00,REALIZÁVEL A LONGO PRAZO,ECD107,REALIZÁVEL A LONGO PRAZO,FALSE,view,account.data_account_type_view,base.BRL
ECD107000100,1.07.00.01.00,Clientes Não Circulante,ECD10700,Clientes Não Circulante,TRUE,receivable,account.data_account_type_receivable,base.BRL
ECD107000200,1.07.00.02.00,Créditos com Pessoas Ligadas (Físicas/Jurídicas),ECD10700,Créditos com Pessoas Ligadas (Físicas/Jurídicas),FALSE,other,account.data_account_type_asset,base.BRL
ECD107000300,1.07.00.03.00,Valores Mobiliários,ECD10700,Valores Mobiliários,FALSE,other,account.data_account_type_asset,base.BRL
ECD107000400,1.07.00.04.00,Depósitos Judiciais,ECD10700,Depósitos Judiciais,FALSE,other,account.data_account_type_asset,base.BRL
