id,code,name,parent_id:id,note,reconcile,type,user_type:id
ECD0,0,Plano de contas ECD Serviços,,,FALSE,view,account.data_account_type_view
ECD1,1,ATIVO,ECD0,,FALSE,view,account.data_account_type_view
ECD101,1.01,CIRCULANTE,ECD1,,FALSE,view,account.data_account_type_view
ECD10101,1.01.01,DISPONIBILIDADES,ECD101,,FALSE,view,account.data_account_type_bank
ECD101010300,1.01.01.03.00,Recursos no Exterior Decorrentes de Exportação,ECD10101,"Contas que registram movimentação de recursos em instituições financeiras no exterior, nos termos do art. 1o. da Lei no 11.371/2006.",FALSE,liquidity,account.data_account_type_asset
ECD101010400,1.01.01.04.00,Contas Bancárias - Subvenções,ECD10101,"Contas que registram disponibilidades, nas instituições imunes ou isentas, de recursos de aplicações vinculadas ao objeto das subvenções, mantidas em instituições financeiras.",FALSE,liquidity,account.data_account_type_asset
ECD101010500,1.01.01.05.00,Contas Bancárias - Doações,ECD10101,"Contas que registram disponibilidades, nas instituições imunes ou isentas, de recursos de aplicações vinculadas ao objeto das doações, mantidas em instituições financeiras.",FALSE,liquidity,account.data_account_type_asset
ECD101010600,1.01.01.06.00,Contas Bancárias - Outros Recursos Sujeitos a Restrições,ECD10101,"Contas que registram disponibilidades, nas instituições imunes ou isentas, de outros recursos sujeitos a restrições, mantidas em instituições financeiras.",FALSE,liquidity,account.data_account_type_asset
ECD101010700,1.01.01.07.00,Valores Mobiliários,ECD10101,Contas que registram as aplicações no mercado de capitais.,FALSE,liquidity,account.data_account_type_asset
ECD101010701,1.01.01.07.01,Valores Mobiliários - Mercado de Capitais Interno,ECD10101,"Contas que registram as aplicações no mercado de capitais do Brasil, de recursos de livre movimentação, cujo vencimento ou resgate venha a ocorrer no curso do ano-calendário subseqüente.",FALSE,liquidity,account.data_account_type_asset
ECD101010702,1.01.01.07.02,Valores Mobiliários - Mercado de Capitais Externo,ECD10101,"Contas que registram as aplicações no mercado de capitais do exterior, de recursos de livre movimentação, cujo vencimento ou resgate venha a ocorrer no curso do ano-calendário subseqüente.",FALSE,liquidity,account.data_account_type_asset
ECD101010800,1.01.01.08.00,Valores Mobiliários - Aplicações de Subvenções,ECD10101,"Contas que correspondem, nas instituições imunes ou isentas, às aplicações financeiras de recursos oriundos de subvenções.",FALSE,liquidity,account.data_account_type_asset
ECD101010900,1.01.01.09.00,Valores Mobiliários - Aplicações de Doações,ECD10101,"Contas que correspondem, nas instituições imunes ou isentas, às aplicações financeiras de recursos oriundos de doações.",FALSE,liquidity,account.data_account_type_asset
ECD101011000,1.01.01.10.00,Valores Mobiliários - Aplicações de Outros Recursos Sujeitos a Restrições,ECD10101,"Contas que correspondem, nas instituições imunes ou isentas, às aplicações financeiras de outros recursos sujeitos a restrições.",FALSE,liquidity,account.data_account_type_asset
ECD101011100,1.01.01.11.00,Outras Contas do Disponivel,ECD10101,,FALSE,liquidity,account.data_account_type_asset
ECD10103,1.01.03,ESTOQUES,ECD101,,FALSE,view,account.data_account_type_view
ECD101030101,1.01.03.01.01,Mercadorias para Revenda,ECD10103,"Contas que registram o valor do saldo das contas de estoques de mercadorias para revenda, na data de apuração dos resultados. Observar, quanto aos estoques, as orientações contidas na Instrução Normativa SRF no 51, de 1978, e no PN CST no 6, de 1979.",FALSE,other,account.data_account_type_asset
ECD101030102,1.01.03.01.02,Insumos (materiais diretos),ECD10103,"Contas que registram o valor do saldo das contas de estoques de matérias primas e materiais diretos, na data de apuração dos resultados. Observar, quanto aos estoques, as orientações contidas na Instrução Normativa SRF no 51, de 1978, e no PN CST no 6, de 1979.",FALSE,other,account.data_account_type_asset
ECD101030103,1.01.03.01.03,Produtos em Elaboração,ECD10103,"Contas que registram o valor do saldo das contas de estoques de produtos em elaboração, na data de apuração dos resultados. Observar, quanto aos estoques, as orientações contidas na Instrução Normativa SRF no 51, de 1978, e no PN CST no 6, de 1979.",FALSE,other,account.data_account_type_asset
ECD101030104,1.01.03.01.04,Produtos Acabados,ECD10103,"Contas que registram o valor do saldo das contas de estoques de produtos acabados, na data de apuração dos resultados. Observar, quanto aos estoques, as orientações contidas na Instrução Normativa SRF no 51, de 1978, e no PN CST no 6, de 1979.",FALSE,other,account.data_account_type_asset
ECD101030105,1.01.03.01.05,Serviços em andamento,ECD10103,"Contas que registram o valor do saldo das contas de serviços em andamento, na data de apuração dos resultados. Observar, quanto aos estoques, as orientações contidas na Instrução Normativa SRF no 51, de 1978, e no PN CST no 6, de 1979.",FALSE,other,account.data_account_type_asset
ECD101030106,1.01.03.01.06,Insumos Agropecuários,ECD10103,"Contas que registram, nas empresas com atividade rural, o valor do saldo das contas de insumos agropecuários, na data de apuração dos resultados.",FALSE,other,account.data_account_type_asset
ECD101030107,1.01.03.01.07,Produtos Agropecuários em Formação,ECD10103,"Contas que registram, nas empresas com atividade rural, o valor do saldo das contas de produtos agropecuários em formação, na data de apuração dos resultados.",FALSE,other,account.data_account_type_asset
ECD101030108,1.01.03.01.08,Produtos Agropecuários Acabados,ECD10103,"Contas que registra, nas empresas com atividade rural, o valor do saldo das contas de estoques de produtos agropecuários acabados, na data de apuração do resultado.",FALSE,other,account.data_account_type_asset
ECD101030200,1.01.03.02.00,Imóveis Destinados à Venda,ECD10103,Contas utilizadas pela pessoa jurídica que exerce atividade imobiliária para indicar o estoque de imóveis destinados à venda existente na data da apuração dos resultados. Atenção: as construções em andamento de imóveis destinados à venda devem ser incluídas na conta Construções em Andamento de Imóveis Destinados à Venda,FALSE,other,account.data_account_type_asset
ECD101030201,1.01.03.02.01,Construções em Andamento de Imóveis Destinados à Venda,ECD10103,Contas utilizadas pela pessoa jurídica que exerce atividade imobiliária para indicar os imóveis em construção para futura comercialização,FALSE,other,account.data_account_type_asset
ECD101030300,1.01.03.03.00,Estoques Destinados à Doação,ECD10103,"Contas que registram, nas instituições imunes ou isentas, estoques destinados à doação.",FALSE,other,account.data_account_type_asset
ECD101030400,1.01.03.04.00,Outras Contas de Estoques,ECD10103,,FALSE,other,account.data_account_type_asset
ECD10105,1.01.05,CRÉDITOS,ECD101,,FALSE,view,account.data_account_type_view
ECD101050100,1.01.05.01.00,Adiantamentos a Fornecedores,ECD10105,Contas que registram aos adiantamentos feitos a fornecedores de matérias-primas ou mercadorias para revenda.,TRUE,payable,account.data_account_type_payable
ECD101050200,1.01.05.02.00,Clientes Circulante,ECD10105,Contas que registram as contas a receber com vencimento até o final do ano-calendário subseqüente.,TRUE,receivable,account.data_account_type_receivable
ECD101050300,1.01.05.03.00,Créditos Fiscais CSLL - Diferenças Temporárias e Base de Cálculo Negativa,ECD10105,"As companhias abertas, obrigatoriamente, devem informar, nestas contas, o valor dos créditos fiscais com realização no exercício seguinte e das diferenças temporárias, inclusive as decorrentes da base de cálculo negativa, relativos à CSLL, conforme Deliberação CVM no 273, de 20 de agosto de 1998.",FALSE,other,account.data_account_type_asset
ECD101050400,1.01.05.04.00,Créditos Fiscais IRPJ - Diferenças Temporárias e Prejuízos Fiscais,ECD10105,"As companhias abertas, obrigatoriamente, devem informar, nestas contas, o valor dos créditos fiscais com realização no exercício seguinte e das diferenças temporárias, inclusive as decorrentes dos prejuízos fiscais, relativos ao IRPJ, conforme Deliberação CVM nº 273, de 20 de agosto de 1998.",FALSE,other,account.data_account_type_asset
ECD101050501,1.01.05.05.01,Imposto de Renda a Recuperar,ECD10105,Contas correspondentes ao Imposto de Renda a recuperar no final do período de apuração.,FALSE,other,account.data_account_type_asset
ECD101050502,1.01.05.05.02,IPI a Recuperar,ECD10105,Contas correspondentes ao IPI a recuperar no final do período de apuração.,FALSE,other,account.data_account_type_asset
ECD101050503,1.01.05.05.03,PIS e COFINS a Recuperar,ECD10105,Contas correspondentes ao PIS e à Cofins a recuperar no final do período de apuração.,FALSE,other,account.data_account_type_asset
ECD101050504,1.01.05.05.04,CSLL a Recuperar,ECD10105,Contas correspondentes à CSLL a recuperar no final do período de apuração.,FALSE,other,account.data_account_type_asset
ECD101050505,1.01.05.05.05,ICMS e Contribuições a Recuperar,ECD10105,Contas correspondentes ao ICMS a recuperar no final do período de apuração.,FALSE,other,account.data_account_type_asset
ECD101050506,1.01.05.05.06,Tributos Municipais a Recuperar,ECD10105,Contas correspondentes a tributos municipais a recuperar no final do período de apuração.,FALSE,other,account.data_account_type_asset
ECD101050590,1.01.05.05.90,Outros Impostos e Contribuições a Recuperar,ECD10105,Contas correspondentes a outros impostos a recuperar no final do período de apuração.,FALSE,other,account.data_account_type_asset
ECD101050600,1.01.05.06.00,Créditos por Contribuições e Doações,ECD10105,"Contas que registram, nas instituições imunes ou isentas, créditos por contribuições ou doações.",FALSE,other,account.data_account_type_asset
ECD101050700,1.01.05.07.00,Outras Contas de Créditos,ECD10105,,FALSE,other,account.data_account_type_asset
ECD10107,1.01.07,DESPESAS DO EXERCÍCIO SEGUINTE,ECD101,,FALSE,view,account.data_account_type_view
ECD101070100,1.01.07.01.00,Despesas do Exercício Seguinte,ECD10107,"Contas correspondentes a pagamentos antecipados, cujos benefícios ou prestação de serviços à pessoa jurídica ocorrerão durante o exercício seguinte. São valores relativos a despesas que efetivamente pertencem ao exercício seguinte.",FALSE,other,account.data_account_type_asset
ECD101070200,1.01.07.02.00,Outras Contas de Despesas do Exercício Seguinte,ECD10107,"Incluir, dentre outras, a soma das contas/subcontas do Circulante que registram, dentre outras, a correção monetária relativa à diferença, em relação ao ano de 1990, entre o IPC e o BTN Fiscal, na forma estabelecida nos arts. 32 e 33 do Decreto no 332, de 1991.",FALSE,other,account.data_account_type_asset
ECD10109,1.01.09,CONTAS RETIFICADORAS,ECD101,,FALSE,view,account.data_account_type_view
